type,positive_prompt,serial_no,negative_prompt,input_file
n/a,"valentine theme, numerous heart shapes, serenity, pink, orage, and white",1,"watermark, low quality",
n/a,"An abstract painting depicts numerous heart-shaped objects in various shades of pink, orange, and white. The background is a soft blend of pale pink and white, creating a dreamy and ethereal atmosphere. elegent composition. The expressive style features bold brushstrokes and a harmonious color palette that evokes feelings of warmth and love.",2,"watermark, low quality",
n/a,"a dreamy, extraterrestrial landscape, white, red and orage",3,"watermark, low quality",
valentine,"two white swans forming a heart shape, with reflection in water. overall mood of the image is serene and romantic.",4,"watermark, low quality",
valentine,"A vibrant watercolor painting depicts a heart-shaped composition. The central figure is a silhouette of a woman with flowing pink hair. Surrounding the heart are swirling patterns of red, orange, blue, green, and purple. The background is a gradient of soft pastel colors, creating a dreamy atmosphere. The painting's style is whimsical and romantic, emphasizing color and fluidity.",5,"watermark, low quality",
valentine,"A vivid and colorful watercolor painting depicts a couple in a heart-shaped frame. The woman has long, flowing blue hair and the man has a rainbow-colored hair. They are shown in a close embrace, with the woman's hand gently touching the man's forehead. The background is a tapestry of splashes of red, orange, blue, and yellow, creating a dynamic and ethereal atmosphere. The painting's style is abstract, blending realism and impressionism, with bold brushstrokes and a dreamlike quality.",6,"watermark, low quality",
landscape,"detailed background, the forgotten city made of white marble, grand, epic, fantasy, mystical, sunbeam, soft lighting, volumetric lighting, dramatic",7,"watermark, low quality",
,"a french bull dog  holding a bunch rose in his mouth, smiling at viewer",10,,frenchie_rose_2.jpg
,a snake forming a heart shape,11,,valentine_heart_snake.jpg
,"a fox in snow, wearing a carf saying ""SNOW MUCH LOVE""",12,,valentine_fox_scarf_1.jpg
,"A sleek golden snake coiled gracefully around a blooming plum tree , symbolizing wisdom , elegance , and renewal during the Lunar New Year",13,,snake_year_1.jpg
,"A golden snake wrapped around a pile of shimmering coins and jewels, symbolizing wealth and prosperity, surrounded by blooming peonies",14,,"snake_year_2.jpg, snake_year_3.jpg"
