Depth,Type,Keywords,Choice_Number,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23
0,pixel,tigger words,all,pixel,,,,,,,,,,,,,,,,,,,,,,
0,shuimo,tigger words,all,<lora:gubinxin:0.9>,chinese ink painting,,,,,,,,,,,,,,,,,,,,,
0,anime,trigger word,all,anime,,,,,,,,,,,,,,,,,,,,,,
0,realistic,trigger word,all,realistic,,,,,,,,,,,,,,,,,,,,,,
0,shuicai,tigger words,all,shuicai,scene,,,,,,,,,,,,,,,,,,,,,
1,abstract,subject,random,serene forest,geometric shapes,colorful patterns,abstract Martian landscape,ethereal clouds,whimsical creatures,flowing rivers,fractals in nature,dreamy landscapes,vibrant cityscapes,abstract waves,cosmic phenomena,kaleidoscopic visions,mystical gardens,floating islands,celestial bodies,surreal reflections,fantastical architecture,colorful mosaics,abstract emotions,,,
1,abstract,styles,random,surreal,Impressionism,impressionistic,expressionistic,cubist,futuristic,minimalist,art deco,pop art,naive art,digital art,conceptual art,geometric abstraction,color field,abstract expressionism,post-impressionism,modernism,baroque,romanticism,symbolism,,,
1,abstract,qualities,random,vivid colors,ethereal,dreamlike,high contrast,soft focus,dynamic movement,textured layers,bold patterns,subtle gradients,luminescent effects,rich detail,fluid forms,harmonious composition,striking visuals,captivating depth,radiant light,mysterious shadows,whimsical charm,oil painting,intense emotion,,,
1,abstract,colors,random,navy blue,rose red,orange,gold,emerald green,deep purple,turquoise,crimson,sunset yellow,lavender,teal,magenta,charcoal gray,peach,mint green,indigo,coral,silver,cobalt blue,burnt sienna,,,
1,abstract,lighting,1,volumetric lighting,raytracing,bloom effect,Golden hour illumination,Backlit scenes,Cinematic lighting,,,,,,,,,,,,,,,,,
2,non-abstract,colors,2,Turquoise and gold transitions,Deep blues with coral accents,Sunset oranges blending to purple,Ethereal pastels with teal undertones,,,,,,,,,,,,,,,,,,,
2,non-abstract,lighting,2,Volumetric lighting,Golden hour illumination,Backlit scenes,Cinematic lighting,,Soft studio lighting,,,,,,,,,,,,,,,,,
2,non-abstract,technical,2,HDR rendering,High resolution (8K),,Photorealistic details,Octane render,Global illumination7,,,,,,,,,,,,,,,,,
